GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS
2025-10-21,Golden State Warriors,GSW @ LAL,W,119
2025-10-21,Houston Rockets,HOU @ OKC,L,124
2025-10-21,Oklahoma City Thunder,OKC vs. HOU,W,125
2025-10-21,Los Angeles Lakers,LAL vs. GSW,L,109
2025-09-11,Las Vegas Aces,LVA @ LAS,W,103
2025-09-11,Dallas Wings,DAL vs. PHX,W,97
2025-09-11,Phoenix Mercury,PHX @ DAL,L,76
2025-09-11,Minnesota Lynx,MIN vs. GSV,W,72
2025-09-11,Los Angeles Sparks,LAS vs. LVA,L,75
2025-09-11,Golden State Valkyries,GSV @ MIN,L,53
2025-09-11,New York Liberty,NYL @ CHI,W,91
2025-09-11,Chicago Sky,CHI vs. NYL,L,86
2025-09-10,Atlanta Dream,ATL @ CON,W,88
2025-09-10,Connecticut Sun,CON vs. ATL,L,72
2025-09-09,Minnesota Lynx,MIN @ IND,L,72
2025-09-09,Golden State Valkyries,GSV @ SEA,L,73
2025-09-09,Seattle Storm,SEA vs. GSV,W,74
2025-09-09,Washington Mystics,WAS @ NYL,L,66
2025-09-09,Los Angeles Sparks,LAS @ PHX,W,88
2025-09-09,Phoenix Mercury,PHX vs. LAS,L,83
2025-09-09,Indiana Fever,IND vs. MIN,W,83
2025-09-09,Las Vegas Aces,LVA vs. CHI,W,92
2025-09-09,New York Liberty,NYL vs. WAS,W,75
2025-09-09,Chicago Sky,CHI @ LVA,L,61
2025-09-08,Atlanta Dream,ATL vs. CON,W,87
2025-09-08,Connecticut Sun,CON @ ATL,L,62
2025-09-07,Los Angeles Sparks,LAS vs. DAL,W,91
2025-09-07,Washington Mystics,WAS vs. IND,L,65
2025-09-07,Chicago Sky,CHI @ LVA,L,66
2025-09-07,Las Vegas Aces,LVA vs. CHI,W,80
2025-09-07,Dallas Wings,DAL @ LAS,L,77
2025-09-07,Indiana Fever,IND @ WAS,W,94
2025-09-06,Phoenix Mercury,PHX @ CON,L,84
2025-09-06,Golden State Valkyries,GSV vs. MIN,L,72
2025-09-06,Connecticut Sun,CON vs. PHX,W,87
2025-09-06,Minnesota Lynx,MIN @ GSV,W,78
2025-09-05,Chicago Sky,CHI @ IND,L,77
2025-09-05,Indiana Fever,IND vs. CHI,W,97
2025-09-05,Seattle Storm,SEA vs. NYL,L,76
2025-09-05,Los Angeles Sparks,LAS @ ATL,L,85
2025-09-05,Atlanta Dream,ATL vs. LAS,W,104
2025-09-05,New York Liberty,NYL @ SEA,W,84
2025-09-04,Washington Mystics,WAS vs. PHX,L,69
2025-09-04,Dallas Wings,DAL @ GSV,L,80
2025-09-04,Phoenix Mercury,PHX @ WAS,W,75
2025-09-04,Golden State Valkyries,GSV vs. DAL,W,84
2025-09-04,Minnesota Lynx,MIN @ LVA,L,87
2025-09-04,Las Vegas Aces,LVA vs. MIN,W,97
2025-09-03,Connecticut Sun,CON @ CHI,L,64
2025-09-03,Atlanta Dream,ATL vs. LAS,W,86
2025-09-03,Los Angeles Sparks,LAS @ ATL,L,75
2025-09-03,Chicago Sky,CHI vs. CON,W,88
2025-09-02,Indiana Fever,IND @ PHX,L,79
2025-09-02,New York Liberty,NYL @ GSV,L,58
2025-09-02,Golden State Valkyries,GSV vs. NYL,W,66
2025-09-02,Phoenix Mercury,PHX vs. IND,W,85
2025-09-01,Dallas Wings,DAL @ MIN,L,71
2025-09-01,Los Angeles Sparks,LAS @ SEA,W,91
2025-09-01,Seattle Storm,SEA vs. LAS,L,85
2025-09-01,Atlanta Dream,ATL @ CON,W,93
2025-09-01,Minnesota Lynx,MIN vs. DAL,W,96
2025-09-01,Connecticut Sun,CON vs. ATL,L,76
2025-08-31,Indiana Fever,IND @ GSV,L,63
2025-08-31,Los Angeles Sparks,LAS vs. WAS,W,81
2025-08-31,Washington Mystics,WAS @ LAS,L,78
2025-08-31,Golden State Valkyries,GSV vs. IND,W,75
2025-08-30,Chicago Sky,CHI @ SEA,L,69
2025-08-30,Golden State Valkyries,GSV vs. WAS,W,99
2025-08-30,Phoenix Mercury,PHX vs. NYL,W,80
2025-08-30,Connecticut Sun,CON vs. MIN,L,70
2025-08-30,Washington Mystics,WAS @ GSV,L,62
2025-08-30,Minnesota Lynx,MIN @ CON,W,94
2025-08-30,Seattle Storm,SEA vs. CHI,W,79
2025-08-30,New York Liberty,NYL @ PHX,L,63
2025-08-29,Dallas Wings,DAL @ ATL,L,78
2025-08-29,Atlanta Dream,ATL vs. DAL,W,100
2025-08-29,Indiana Fever,IND @ LAS,W,76
2025-08-29,Los Angeles Sparks,LAS vs. IND,L,75
2025-08-28,Minnesota Lynx,MIN vs. SEA,L,79
2025-08-28,Washington Mystics,WAS @ NYL,L,63
2025-08-28,Phoenix Mercury,PHX vs. CHI,W,83
2025-08-28,New York Liberty,NYL vs. WAS,W,89
2025-08-28,Seattle Storm,SEA @ MIN,W,93
2025-08-28,Chicago Sky,CHI @ PHX,L,79
2025-08-27,Connecticut Sun,CON @ DAL,W,101
2025-08-27,Atlanta Dream,ATL vs. LVA,L,75
2025-08-27,Las Vegas Aces,LVA @ ATL,W,81
2025-08-27,Dallas Wings,DAL vs. CON,L,95
2025-08-26,Phoenix Mercury,PHX @ LAS,W,92
2025-08-26,Indiana Fever,IND vs. SEA,W,95
2025-08-26,Seattle Storm,SEA @ IND,L,75
2025-08-26,Los Angeles Sparks,LAS vs. PHX,L,84
2025-08-25,New York Liberty,NYL vs. CON,W,81
2025-08-25,Connecticut Sun,CON @ NYL,L,79
2025-08-25,Las Vegas Aces,LVA @ CHI,W,79
2025-08-25,Chicago Sky,CHI vs. LVA,L,74
2025-08-24,Indiana Fever,IND @ MIN,L,84
2025-08-24,Minnesota Lynx,MIN vs. IND,W,97
2025-08-24,Dallas Wings,DAL vs. GSV,L,81
2025-08-24,Seattle Storm,SEA @ WAS,W,84
2025-08-24,Washington Mystics,WAS vs. SEA,L,82
2025-08-24,Golden State Valkyries,GSV @ DAL,W,90
2025-08-23,Connecticut Sun,CON @ CHI,W,94
2025-08-23,New York Liberty,NYL @ ATL,L,62
2025-08-23,Atlanta Dream,ATL vs. NYL,W,78
2025-08-23,Washington Mystics,WAS vs. LVA,L,81
2025-08-23,Chicago Sky,CHI vs. CON,L,84
2025-08-23,Las Vegas Aces,LVA @ WAS,W,91
2025-08-22,Seattle Storm,SEA @ DAL,W,95
2025-08-22,Phoenix Mercury,PHX vs. GSV,W,81
2025-08-22,Dallas Wings,DAL vs. SEA,L,60
2025-08-22,Indiana Fever,IND vs. MIN,L,90
2025-08-22,Golden State Valkyries,GSV @ PHX,L,72
2025-08-22,Minnesota Lynx,MIN @ IND,W,95
2025-08-21,Connecticut Sun,CON vs. WAS,W,67
2025-08-21,New York Liberty,NYL vs. CHI,L,85
2025-08-21,Phoenix Mercury,PHX @ LVA,L,61
2025-08-21,Chicago Sky,CHI @ NYL,W,91
2025-08-21,Atlanta Dream,ATL vs. MIN,W,75
2025-08-21,Las Vegas Aces,LVA vs. PHX,W,83
2025-08-21,Washington Mystics,WAS @ CON,L,56
2025-08-21,Minnesota Lynx,MIN @ ATL,L,73
2025-08-20,Los Angeles Sparks,LAS vs. DAL,W,81
2025-08-20,Dallas Wings,DAL @ LAS,L,80
2025-08-19,Golden State Valkyries,GSV vs. PHX,L,91
2025-08-19,Las Vegas Aces,LVA vs. ATL,W,74
2025-08-19,New York Liberty,NYL vs. MIN,W,85
2025-08-19,Phoenix Mercury,PHX @ GSV,W,98
2025-08-19,Chicago Sky,CHI vs. SEA,L,88
2025-08-19,Washington Mystics,WAS vs. CON,L,69
2025-08-19,Atlanta Dream,ATL @ LVA,L,72
2025-08-19,Minnesota Lynx,MIN @ NYL,L,75
2025-08-19,Seattle Storm,SEA @ CHI,W,94
2025-08-19,Connecticut Sun,CON @ WAS,W,80
2025-08-17,Golden State Valkyries,GSV vs. ATL,L,63
2025-08-17,Atlanta Dream,ATL @ GSV,W,79
2025-08-17,Seattle Storm,SEA vs. PHX,L,82
2025-08-17,Las Vegas Aces,LVA vs. DAL,W,106
2025-08-17,Washington Mystics,WAS vs. LAS,W,95
2025-08-17,Dallas Wings,DAL @ LVA,L,87
2025-08-17,Los Angeles Sparks,LAS @ WAS,L,86
2025-08-17,Connecticut Sun,CON vs. IND,L,93
2025-08-17,Phoenix Mercury,PHX @ SEA,W,85
2025-08-17,Indiana Fever,IND @ CON,W,99
2025-08-16,New York Liberty,NYL @ MIN,L,80
2025-08-16,Minnesota Lynx,MIN vs. NYL,W,86
2025-08-15,Dallas Wings,DAL vs. LAS,L,96
2025-08-15,Seattle Storm,SEA @ ATL,W,80
2025-08-15,Los Angeles Sparks,LAS @ DAL,W,97
2025-08-15,Phoenix Mercury,PHX vs. LVA,L,83
2025-08-15,Las Vegas Aces,LVA @ PHX,W,86
2025-08-15,Chicago Sky,CHI vs. GSV,L,59
2025-08-15,Golden State Valkyries,GSV @ CHI,W,90
2025-08-15,Indiana Fever,IND vs. WAS,L,84
2025-08-15,Atlanta Dream,ATL vs. SEA,L,78
2025-08-15,Washington Mystics,WAS @ IND,W,88
2025-08-13,Atlanta Dream,ATL @ SEA,W,85
2025-08-13,Chicago Sky,CHI @ CON,L,62
2025-08-13,Connecticut Sun,CON vs. CHI,W,71
2025-08-13,Washington Mystics,WAS vs. GSV,L,83
2025-08-13,New York Liberty,NYL @ LVA,L,77
2025-08-13,Las Vegas Aces,LVA vs. NYL,W,83
2025-08-13,Seattle Storm,SEA vs. ATL,L,75
2025-08-13,Golden State Valkyries,GSV @ WAS,W,88
2025-08-12,New York Liberty,NYL @ LAS,W,105
2025-08-12,Indiana Fever,IND vs. DAL,L,80
2025-08-12,Dallas Wings,DAL @ IND,W,81
2025-08-12,Los Angeles Sparks,LAS vs. NYL,L,97
2025-08-11,Golden State Valkyries,GSV vs. CON,W,74
2025-08-11,Connecticut Sun,CON @ GSV,L,57
2025-08-10,New York Liberty,NYL vs. MIN,L,71
2025-08-10,Atlanta Dream,ATL @ PHX,W,74
2025-08-10,Minnesota Lynx,MIN @ NYL,W,83
2025-08-10,Las Vegas Aces,LVA vs. CON,W,94
2025-08-10,Dallas Wings,DAL vs. WAS,L,78
2025-08-10,Phoenix Mercury,PHX vs. ATL,L,66
2025-08-10,Washington Mystics,WAS @ DAL,W,91
2025-08-10,Seattle Storm,SEA @ LAS,L,91
2025-08-10,Connecticut Sun,CON @ LVA,L,86
2025-08-10,Los Angeles Sparks,LAS vs. SEA,W,94
2025-08-09,Indiana Fever,IND vs. CHI,W,92
2025-08-09,Chicago Sky,CHI @ IND,L,70
2025-08-09,Golden State Valkyries,GSV vs. LAS,W,72
2025-08-09,Los Angeles Sparks,LAS @ GSV,L,59
2025-08-08,Seattle Storm,SEA @ LVA,L,86
2025-08-08,Washington Mystics,WAS @ MIN,L,76
2025-08-08,Las Vegas Aces,LVA vs. SEA,W,90
2025-08-08,New York Liberty,NYL @ DAL,W,88
2025-08-08,Dallas Wings,DAL vs. NYL,L,77
2025-08-08,Minnesota Lynx,MIN vs. WAS,W,80
2025-08-07,Indiana Fever,IND @ PHX,L,60
2025-08-07,Chicago Sky,CHI vs. ATL,L,65
2025-08-07,Phoenix Mercury,PHX vs. IND,W,95
2025-08-07,Connecticut Sun,CON @ LAS,L,91
2025-08-07,Atlanta Dream,ATL @ CHI,W,86
2025-08-07,Los Angeles Sparks,LAS vs. CON,W,102
2025-08-06,Golden State Valkyries,GSV vs. LVA,L,72
2025-08-06,Las Vegas Aces,LVA @ GSV,W,78
2025-08-05,New York Liberty,NYL vs. DAL,W,85
2025-08-05,Minnesota Lynx,MIN @ SEA,W,91
2025-08-05,Seattle Storm,SEA vs. MIN,L,87
2025-08-05,Indiana Fever,IND @ LAS,L,91
2025-08-05,Phoenix Mercury,PHX vs. CON,W,82
2025-08-05,Dallas Wings,DAL @ NYL,L,76
2025-08-05,Chicago Sky,CHI vs. WAS,W,78
2025-08-05,Washington Mystics,WAS @ CHI,L,64
2025-08-05,Connecticut Sun,CON @ PHX,L,66
2025-08-05,Los Angeles Sparks,LAS vs. IND,W,100
2025-08-03,Golden State Valkyries,GSV @ LVA,L,77
2025-08-03,Las Vegas Aces,LVA vs. GSV,W,101
2025-08-03,Connecticut Sun,CON vs. NYL,L,78
2025-08-03,Seattle Storm,SEA vs. IND,L,74
2025-08-03,Chicago Sky,CHI vs. PHX,L,67
2025-08-03,Washington Mystics,WAS @ ATL,L,83
2025-08-03,Phoenix Mercury,PHX @ CHI,W,83
2025-08-03,New York Liberty,NYL @ CON,W,87
2025-08-03,Indiana Fever,IND @ SEA,W,78
2025-08-03,Atlanta Dream,ATL vs. WAS,W,99
2025-08-02,Las Vegas Aces,LVA vs. MIN,L,58
2025-08-02,Minnesota Lynx,MIN @ LVA,W,111
2025-08-01,Dallas Wings,DAL vs. IND,L,78
2025-08-01,New York Liberty,NYL @ CON,L,62
2025-08-01,Atlanta Dream,ATL vs. PHX,W,95
2025-08-01,Seattle Storm,SEA vs. LAS,L,106
2025-08-01,Indiana Fever,IND @ DAL,W,88
2025-08-01,Connecticut Sun,CON vs. NYL,W,78
2025-08-01,Los Angeles Sparks,LAS @ SEA,W,108
2025-08-01,Chicago Sky,CHI vs. GSV,L,66
2025-08-01,Golden State Valkyries,GSV @ CHI,W,73
2025-08-01,Phoenix Mercury,PHX @ ATL,L,72
2025-07-31,Washington Mystics,WAS vs. GSV,L,67
2025-07-31,Golden State Valkyries,GSV @ WAS,W,68
2025-07-30,New York Liberty,NYL @ MIN,L,93
2025-07-30,Minnesota Lynx,MIN vs. NYL,W,100
2025-07-30,Dallas Wings,DAL vs. ATL,L,85
2025-07-30,Indiana Fever,IND vs. PHX,W,107
2025-07-30,Phoenix Mercury,PHX @ IND,L,101
2025-07-30,Atlanta Dream,ATL @ DAL,W,88
2025-07-29,Chicago Sky,CHI @ WAS,L,86
2025-07-29,Los Angeles Sparks,LAS vs. LVA,L,74
2025-07-29,Atlanta Dream,ATL vs. GSV,L,75
2025-07-29,Washington Mystics,WAS vs. CHI,W,103
2025-07-29,Las Vegas Aces,LVA @ LAS,W,89
2025-07-29,Golden State Valkyries,GSV @ ATL,W,77
2025-07-28,New York Liberty,NYL @ DAL,L,82
2025-07-28,Dallas Wings,DAL vs. NYL,W,92
2025-07-28,Connecticut Sun,CON vs. SEA,L,85
2025-07-28,Seattle Storm,SEA @ CON,W,101
2025-07-27,Washington Mystics,WAS vs. PHX,L,72
2025-07-27,Dallas Wings,DAL vs. LVA,L,80
2025-07-27,Phoenix Mercury,PHX @ WAS,W,88
2025-07-27,Las Vegas Aces,LVA @ DAL,W,106
2025-07-27,Golden State Valkyries,GSV @ CON,L,64
2025-07-27,Minnesota Lynx,MIN vs. ATL,L,86
2025-07-27,Chicago Sky,CHI vs. IND,L,78
2025-07-27,Atlanta Dream,ATL @ MIN,W,90
2025-07-27,Indiana Fever,IND @ CHI,W,93
2025-07-27,Connecticut Sun,CON vs. GSV,W,95
2025-07-26,Seattle Storm,SEA @ WAS,L,58
2025-07-26,Los Angeles Sparks,LAS @ NYL,W,101
2025-07-26,Washington Mystics,WAS vs. SEA,W,69
2025-07-26,New York Liberty,NYL vs. LAS,L,99
2025-07-25,Golden State Valkyries,GSV vs. DAL,W,86
2025-07-25,New York Liberty,NYL vs. PHX,W,89
2025-07-25,Las Vegas Aces,LVA @ MIN,L,78
2025-07-25,Phoenix Mercury,PHX @ NYL,L,76
2025-07-25,Minnesota Lynx,MIN vs. LVA,W,109
2025-07-25,Dallas Wings,DAL @ GSV,L,76
2025-07-24,Connecticut Sun,CON vs. LAS,L,86
2025-07-24,Chicago Sky,CHI vs. SEA,L,57
2025-07-24,Los Angeles Sparks,LAS @ CON,W,101
2025-07-24,Seattle Storm,SEA @ CHI,W,95
2025-07-24,Las Vegas Aces,LVA @ IND,L,70
2025-07-24,Indiana Fever,IND vs. LVA,W,80
2025-07-23,Atlanta Dream,ATL @ PHX,W,90
2025-07-23,Phoenix Mercury,PHX vs. ATL,L,79
2025-07-22,Las Vegas Aces,LVA vs. ATL,W,87
2025-07-22,Dallas Wings,DAL @ SEA,W,87
2025-07-22,Minnesota Lynx,MIN vs. CHI,W,91
2025-07-22,Los Angeles Sparks,LAS @ WAS,W,93
2025-07-22,Washington Mystics,WAS vs. LAS,L,86
2025-07-22,Seattle Storm,SEA vs. DAL,L,63
2025-07-22,Chicago Sky,CHI @ MIN,L,68
2025-07-22,Indiana Fever,IND @ NYL,L,84
2025-07-22,Atlanta Dream,ATL @ LVA,L,72
2025-07-22,New York Liberty,NYL vs. IND,W,98
2025-07-20,Boston Celtics,BOS vs. ATL,W,101
2025-07-20,LA Clippers,LAC vs. MEM,L,82
2025-07-20,Memphis Grizzlies,MEM @ LAC,W,105
2025-07-20,Sacramento Kings,SAC @ CHA,L,78
2025-07-20,Charlotte Hornets,CHA vs. SAC,W,83
2025-07-20,Atlanta Hawks,ATL @ BOS,L,80
2025-07-19,New York Knicks,NYK vs. WAS,L,85
2025-07-19,Portland Trail Blazers,POR @ PHX,L,87
2025-07-19,Washington Wizards,WAS @ NYK,W,94
2025-07-19,Minnesota Timberwolves,MIN vs. HOU,L,101
2025-07-19,Detroit Pistons,DET @ SAS,L,84
2025-07-19,Golden State Warriors,GSW vs. CLE,W,82
2025-07-19,San Antonio Spurs,SAS vs. DET,W,96
2025-07-19,Phoenix Suns,PHX vs. POR,W,111
2025-07-19,Sacramento Kings,SAC @ TOR,W,98
2025-07-19,Cleveland Cavaliers,CLE @ GSW,L,71
2025-07-19,Charlotte Hornets,CHA @ OKC,W,109
2025-07-19,Toronto Raptors,TOR vs. SAC,L,88
2025-07-19,Oklahoma City Thunder,OKC vs. CHA,L,80
2025-07-19,Houston Rockets,HOU @ MIN,W,104
2025-07-18,Milwaukee Bucks,MIL vs. MIA,L,92
2025-07-18,Dallas Mavericks,DAL @ ORL,W,92
2025-07-18,Philadelphia 76ers,PHI @ BKN,W,87
2025-07-18,Brooklyn Nets,BKN vs. PHI,L,83
2025-07-18,Denver Nuggets,DEN @ LAL,W,106
2025-07-18,Indiana Pacers,IND @ NOP,W,113
2025-07-18,Chicago Bulls,CHI vs. UTA,W,105
2025-07-18,Orlando Magic,ORL vs. DAL,L,69
2025-07-18,Los Angeles Lakers,LAL vs. DEN,L,84
2025-07-18,New Orleans Pelicans,NOP vs. IND,L,104
2025-07-18,Utah Jazz,UTA @ CHI,L,92
2025-07-18,Miami Heat,MIA @ MIL,W,93
2025-07-17,Los Angeles Lakers,LAL vs. BOS,L,78
2025-07-17,Houston Rockets,HOU @ POR,L,83
2025-07-17,LA Clippers,LAC vs. DEN,L,76
2025-07-17,Portland Trail Blazers,POR vs. HOU,W,102
2025-07-17,New York Knicks,NYK vs. IND,L,88
2025-07-17,Golden State Warriors,GSW @ TOR,L,69
2025-07-17,Atlanta Hawks,ATL @ MEM,W,92
2025-07-17,Denver Nuggets,DEN @ LAC,W,81
2025-07-17,Detroit Pistons,DET @ MIA,W,108
2025-07-17,San Antonio Spurs,SAS @ CHA,L,81
2025-07-17,Toronto Raptors,TOR vs. GSW,W,81
2025-07-17,Miami Heat,MIA vs. DET,L,88
2025-07-17,Charlotte Hornets,CHA vs. SAS,W,106
2025-07-17,Memphis Grizzlies,MEM vs. ATL,L,88
2025-07-17,Indiana Pacers,IND @ NYK,W,91
2025-07-17,Boston Celtics,BOS @ LAL,W,87
2025-07-16,Sacramento Kings,SAC @ CLE,W,94
2025-07-16,Orlando Magic,ORL @ BKN,L,90
2025-07-16,Golden State Valkyries,GSV @ SEA,L,58
2025-07-16,Phoenix Suns,PHX @ MIN,L,85
2025-07-16,Dallas Wings,DAL vs. LVA,L,86
2025-07-16,Indiana Fever,IND @ NYL,L,77
2025-07-16,Oklahoma City Thunder,OKC vs. NOP,W,95
2025-07-16,New York Liberty,NYL vs. IND,W,98
2025-07-16,Chicago Bulls,CHI vs. MIL,W,102
2025-07-16,Minnesota Timberwolves,MIN vs. PHX,W,89
2025-07-16,Phoenix Mercury,PHX @ MIN,L,66
2025-07-16,Dallas Mavericks,DAL @ PHI,L,82
2025-07-16,Brooklyn Nets,BKN vs. ORL,W,94
2025-07-16,Utah Jazz,UTA vs. WAS,W,86
2025-07-16,Milwaukee Bucks,MIL @ CHI,L,96
2025-07-16,Las Vegas Aces,LVA @ DAL,W,90
2025-07-16,Seattle Storm,SEA vs. GSV,W,67
2025-07-16,Washington Wizards,WAS @ UTA,L,76
2025-07-16,New Orleans Pelicans,NOP @ OKC,L,81
2025-07-16,Philadelphia 76ers,PHI vs. DAL,W,90
2025-07-16,Atlanta Dream,ATL @ CHI,W,86
2025-07-16,Chicago Sky,CHI vs. ATL,L,49
2025-07-16,Cleveland Cavaliers,CLE vs. SAC,L,86
2025-07-16,Minnesota Lynx,MIN vs. PHX,W,79
2025-07-15,Orlando Magic,ORL vs. OKC,L,75
2025-07-15,Washington Wizards,WAS vs. PHI,L,58
2025-07-15,Connecticut Sun,CON vs. IND,L,77
2025-07-15,Los Angeles Sparks,LAS vs. WAS,W,99
2025-07-15,Memphis Grizzlies,MEM vs. GSW,L,84
2025-07-15,Oklahoma City Thunder,OKC @ ORL,W,92
2025-07-15,Philadelphia 76ers,PHI @ WAS,W,74
2025-07-15,Detroit Pistons,DET vs. MIN,L,73
2025-07-15,Minnesota Timberwolves,MIN @ DET,W,89
2025-07-15,Portland Trail Blazers,POR @ NOP,W,93
2025-07-15,Golden State Warriors,GSW @ MEM,W,96
2025-07-15,New Orleans Pelicans,NOP vs. POR,L,87
2025-07-15,Washington Mystics,WAS @ LAS,L,80
2025-07-15,Toronto Raptors,TOR @ DEN,W,101
2025-07-15,Brooklyn Nets,BKN @ NYK,L,93
2025-07-15,New York Knicks,NYK vs. BKN,W,97
2025-07-15,Indiana Fever,IND @ CON,W,85
2025-07-15,Denver Nuggets,DEN vs. TOR,L,97
2025-07-14,Boston Celtics,BOS @ MIA,L,96
2025-07-14,Golden State Valkyries,GSV vs. PHX,L,77
2025-07-14,Charlotte Hornets,CHA @ DAL,W,87
2025-07-14,Miami Heat,MIA vs. BOS,W,100
2025-07-14,LA Clippers,LAC @ LAL,W,67
2025-07-14,Indiana Pacers,IND vs. CHI,L,105
2025-07-14,Utah Jazz,UTA @ SAS,L,91
2025-07-14,Phoenix Suns,PHX @ SAC,L,76
2025-07-14,Atlanta Hawks,ATL @ HOU,W,111
2025-07-14,Dallas Mavericks,DAL vs. CHA,L,69
2025-07-14,Los Angeles Lakers,LAL vs. LAC,L,58
2025-07-14,San Antonio Spurs,SAS vs. UTA,W,93
2025-07-14,Houston Rockets,HOU vs. ATL,L,108
2025-07-14,Chicago Bulls,CHI @ IND,W,114
2025-07-14,Chicago Sky,CHI vs. MIN,L,78
2025-07-14,Minnesota Lynx,MIN @ CHI,W,91
2025-07-14,Phoenix Mercury,PHX @ GSV,W,78
2025-07-14,Sacramento Kings,SAC vs. PHX,W,94
2025-07-13,Seattle Storm,SEA vs. WAS,L,69
2025-07-13,Orlando Magic,ORL vs. TOR,L,86
2025-07-13,Atlanta Hawks,ATL vs. PHX,W,98
2025-07-13,New York Liberty,NYL vs. ATL,W,79
2025-07-13,New York Knicks,NYK @ BOS,L,81
2025-07-13,Indiana Fever,IND vs. DAL,W,102
2025-07-13,Brooklyn Nets,BKN @ WAS,L,96
2025-07-13,Washington Mystics,WAS @ SEA,W,74
2025-07-13,LA Clippers,LAC vs. MIL,W,106
2025-07-13,Toronto Raptors,TOR @ ORL,W,89
2025-07-13,Phoenix Suns,PHX @ ATL,L,80
2025-07-13,Connecticut Sun,CON @ LAS,L,88
2025-07-13,Los Angeles Sparks,LAS vs. CON,W,92
2025-07-13,Houston Rockets,HOU vs. DET,L,83
2025-07-13,Cleveland Cavaliers,CLE vs. MIA,W,92
2025-07-13,Boston Celtics,BOS vs. NYK,W,94
2025-07-13,Miami Heat,MIA @ CLE,L,72
2025-07-13,Washington Wizards,WAS vs. BKN,W,102
2025-07-13,Detroit Pistons,DET @ HOU,W,98
2025-07-13,Golden State Warriors,GSW @ UTA,W,103
2025-07-13,Utah Jazz,UTA vs. GSW,L,93
2025-07-13,Atlanta Dream,ATL @ NYL,L,72
2025-07-13,Dallas Wings,DAL @ IND,L,83
2025-07-13,Milwaukee Bucks,MIL @ LAC,L,91
2025-07-12,Las Vegas Aces,LVA vs. GSV,W,104
2025-07-12,Minnesota Lynx,MIN @ CHI,L,81
2025-07-12,Minnesota Timberwolves,MIN @ DEN,W,94
2025-07-12,Los Angeles Lakers,LAL @ NOP,W,94
2025-07-12,San Antonio Spurs,SAS vs. DAL,W,76
2025-07-12,Cleveland Cavaliers,CLE @ MIL,W,93
2025-07-12,Chicago Sky,CHI vs. MIN,W,87
2025-07-12,Indiana Pacers,IND @ OKC,L,85
2025-07-12,Dallas Mavericks,DAL @ SAS,L,69
2025-07-12,Philadelphia 76ers,PHI vs. CHA,L,94
2025-07-12,Memphis Grizzlies,MEM @ POR,W,96
2025-07-12,Denver Nuggets,DEN vs. MIN,L,83
2025-07-12,Charlotte Hornets,CHA @ PHI,W,96
2025-07-12,Golden State Valkyries,GSV @ LVA,L,102
2025-07-12,Sacramento Kings,SAC @ CHI,W,109
2025-07-12,Chicago Bulls,CHI vs. SAC,L,92
2025-07-12,Portland Trail Blazers,POR vs. MEM,L,86
2025-07-12,Oklahoma City Thunder,OKC vs. IND,W,104
2025-07-12,New Orleans Pelicans,NOP vs. LAL,L,81
2025-07-12,Milwaukee Bucks,MIL vs. CLE,L,83
2025-07-11,Portland Trail Blazers,POR @ GSW,W,106
2025-07-11,Miami Heat,MIA vs. ATL,L,98
2025-07-11,Atlanta Dream,ATL @ IND,L,82
2025-07-11,Washington Wizards,WAS @ PHX,L,84
2025-07-11,Golden State Warriors,GSW vs. POR,L,73
2025-07-11,Indiana Fever,IND vs. ATL,W,99
2025-07-11,Boston Celtics,BOS vs. MEM,W,92
2025-07-11,Detroit Pistons,DET vs. NYK,W,104
2025-07-11,Phoenix Suns,PHX vs. WAS,W,103
2025-07-11,LA Clippers,LAC @ HOU,W,95
2025-07-11,New York Knicks,NYK @ DET,L,86
2025-07-11,Connecticut Sun,CON @ SEA,L,65
2025-07-11,Seattle Storm,SEA vs. CON,W,79
2025-07-11,Toronto Raptors,TOR vs. CHI,W,116
2025-07-11,Houston Rockets,HOU vs. LAC,L,92
2025-07-11,Charlotte Hornets,CHA vs. UTA,W,111
2025-07-11,Memphis Grizzlies,MEM @ BOS,L,78
2025-07-11,Atlanta Hawks,ATL @ MIA,W,105
2025-07-11,Chicago Bulls,CHI @ TOR,L,72
2025-07-11,Utah Jazz,UTA @ CHA,L,105
2025-07-10,Las Vegas Aces,LVA @ WAS,L,68
2025-07-10,Minnesota Lynx,MIN @ LAS,W,91
2025-07-10,New Orleans Pelicans,NOP @ MIN,L,91
2025-07-10,Cleveland Cavaliers,CLE @ IND,L,115
2025-07-10,Milwaukee Bucks,MIL vs. DEN,W,90
2025-07-10,Oklahoma City Thunder,OKC @ BKN,W,90
2025-07-10,Dallas Mavericks,DAL vs. LAL,W,87
2025-07-10,Philadelphia 76ers,PHI vs. SAS,L,70
2025-07-10,Brooklyn Nets,BKN vs. OKC,L,81
2025-07-10,Washington Mystics,WAS vs. LVA,W,70
2025-07-10,Indiana Pacers,IND vs. CLE,W,116
2025-07-10,Los Angeles Sparks,LAS vs. MIN,L,82
2025-07-10,Orlando Magic,ORL @ SAC,L,81
2025-07-10,Sacramento Kings,SAC vs. ORL,W,84
2025-07-10,Denver Nuggets,DEN @ MIL,L,89
2025-07-10,Minnesota Timberwolves,MIN vs. NOP,W,98
2025-07-10,San Antonio Spurs,SAS @ PHI,W,111
2025-07-10,Los Angeles Lakers,LAL @ DAL,L,85
